Host,CIS Reference,Control Name,Executed_Command,Terminal_Output,Keywords,Complaint Status,Scan Date
192.168.0.110,1.1.1,Enable 'aaa new-model',show running-config | inc aaa new-model,aaa new-model,"""aaa new-model""",Compliant,01-06-2025 20:10
192.168.0.110,1.1.2,Enable 'aaa authentication login',show running-config | incl aaa authentication login,"aaa authentication login default group tacacs+ local
aaa authentication login no_tacacs local","""aaa authentication login default group ISE group tacacs+ local,aaa authentication login console group tacacs+ local""",Non-Compliant,01-06-2025 20:10
192.168.0.110,1.1.3,Enable 'aaa authentication enable default',show running-config | incl aaa authentication enable,aaa authentication enable default group tacacs+ enable,"""aaa authentication enable defualt group  tacacs+ enable""",Non-Compliant,01-06-2025 20:10
192.168.0.110,1.1.4,Set 'login authentication for 'line con 0',show running-config | sec line | incl login authentication,"line con 0
 exec-timeout 5 0
 privilege level 15
 logging synchronous
 no modem enable
line aux 0
line 3
 modem InOut
 speed 115200
 flowcontrol hardware
line vty 0 4
 exec-timeout 5 0
 privilege level 15
 logging synchronous
 transport input ssh
 transport output none
line vty 5 15
 exec-timeout 5 0
 privilege level 15
 logging synchronous
 transport input none
 transport output none","""login authentication ISE""",Non-Compliant,01-06-2025 20:10
192.168.0.110,1.1.5,Set 'login authentication for 'line tty',nan,,,Terminal_Output Empty or Not Run,01-06-2025 20:10
192.168.0.110,1.1.6,Set 'login authentication for 'line vty',show running-config | sec line vty 0 4,"line vty 0 4
 exec-timeout 5 0
 privilege level 15
 logging synchronous
 transport input ssh
 transport output none","""login authentication ISE""",Non-Compliant,01-06-2025 20:10
192.168.0.110,nan,Set 'login authentication for 'line vty',show running-config | sec line vty 5 15,"line vty 5 15
 exec-timeout 5 0
 privilege level 15
 logging synchronous
 transport input none
 transport output none","""login authentication ISE""",Non-Compliant,01-06-2025 20:10
192.168.0.110,1.1.7,Set 'aaa accounting' to log all privileged use commands using 'commands 15',show running-config | sec line vty 0 4,"line vty 0 4
 exec-timeout 5 0
 privilege level 15
 logging synchronous
 transport input ssh
 transport output none","""privilege level 15""",Compliant,01-06-2025 20:10
192.168.0.110,nan,Set 'aaa accounting' to log all privileged use commands using 'commands 15',show running-config | sec line vty 5 15,"line vty 5 15
 exec-timeout 5 0
 privilege level 15
 logging synchronous
 transport input none
 transport output none","""privilege level 15""",Compliant,01-06-2025 20:10
192.168.0.110,1.1.9,Set 'aaa accounting exec',show running-config | incl aaa accounting exec,aaa accounting exec default start-stop group tacacs+,"""aaa accounting exec default start-stop group tacacs+""",Compliant,01-06-2025 20:10
192.168.0.110,1.2.1,Set 'transport input ssh' for 'line vty' connections,show running-config | sec line vty 0 4,"line vty 0 4
 exec-timeout 5 0
 privilege level 15
 logging synchronous
 transport input ssh
 transport output none","""transport input ssh, transport output ssh""",Non-Compliant,01-06-2025 20:10
192.168.0.110,nan,Set 'transport input ssh' for 'line vty' connections,show running-config | sec line vty 5 15,"line vty 5 15
 exec-timeout 5 0
 privilege level 15
 logging synchronous
 transport input none
 transport output none","""transport input ssh, transport output ssh""",Non-Compliant,01-06-2025 20:10
192.168.0.110,1.2.2,Set 'no exec' for 'line aux 0',show running-config | sec line | incl login authentication,"line con 0
 exec-timeout 5 0
 privilege level 15
 logging synchronous
 no modem enable
line aux 0
line 3
 modem InOut
 speed 115200
 flowcontrol hardware
line vty 0 4
 exec-timeout 5 0
 privilege level 15
 logging synchronous
 transport input ssh
 transport output none
line vty 5 15
 exec-timeout 5 0
 privilege level 15
 logging synchronous
 transport input none
 transport output none","""no exec""",Non-Compliant,01-06-2025 20:10
192.168.0.110,1.2.3,Create 'access-list' for use with 'line vty',show access-lists Network-Admin-IN,,,Terminal_Output Empty or Not Run,01-06-2025 20:10
192.168.0.110,1.2.4,Set 'access-class' for 'line vty',show running-config | sec line vty 0 4,"line vty 0 4
 exec-timeout 5 0
 privilege level 15
 logging synchronous
 transport input ssh
 transport output none","""access-class Network-Admin-IN in""",Non-Compliant,01-06-2025 20:10
192.168.0.110,nan,Set 'access-class' for 'line vty',show running-config | sec line vty 5 15,"line vty 5 15
 exec-timeout 5 0
 privilege level 15
 logging synchronous
 transport input none
 transport output none","""access-class Network-Admin-IN in""",Non-Compliant,01-06-2025 20:10
192.168.0.110,1.2.5,Set 'exec-timeout' to less than or equal to 10 minutes for 'line aux 0',show line aux 0,"Tty Typ     Tx/Rx    A Modem  Roty AccO AccI   Uses   Noise  Overruns   Int
      1 AUX      0/0     -    -      -    -    -      0       0     0/0       -

Line 1, Location: """", Type: """"
Length: 24 lines, Width: 80 columns
Status: Ready
Capabilities: none
Modem state: Ready
Special Chars: Escape  Hold  Stop  Start  Disconnect  Activation
                ^^x    none   -     -       none         
Timeouts:      Idle EXEC    Idle Session   Modem Answer  Session   Dispatch
               00:10:00        never                        none     not set
                            Idle Session Disconnect Warning
                              never 
                            Login-sequence User Response
                             00:00:30
                            Autoselect Initial Wait
                              not set 
Modem type is unknown.
Session limit is not set.
Time since activation: never
Editing is enabled.
History is enabled, history size is 20.
 --More--         DNS resolution in show commands is enabled
Full user help is disabled
Allowed input transports are none.
Allowed output transports are pad telnet rlogin lapb-ta ssh.
Preferred transport is telnet.
Shell: enabled
Shell trace: off
No output characters are padded
No special data dispatching characters","""Idle EXEC , 00:10:00""",Compliant,01-06-2025 20:10
192.168.0.110,1.2.6,Set 'exec-timeout' to less than or equal to 10 minutes 'line console 0',show line console 0,"Tty Typ     Tx/Rx    A Modem  Roty AccO AccI   Uses   Noise  Overruns   Int
      0 CTY              -    -      -    -    -      0       0     0/0       -

Line 0, Location: """", Type: """"
Length: 24 lines, Width: 80 columns
Baud rate (TX/RX) is 9600/9600, no parity, 2 stopbits, 8 databits
Status: Ready
Capabilities: none
Modem state: Ready
Modem hardware state: noCTS noDSR  DTR RTS
Special Chars: Escape  Hold  Stop  Start  Disconnect  Activation
                ^^x    none   -     -       none         
Timeouts:      Idle EXEC    Idle Session   Modem Answer  Session   Dispatch
               00:05:00        never                        none     not set
                            Idle Session Disconnect Warning
                              never 
                            Login-sequence User Response
                             00:00:30
                            Autoselect Initial Wait
                              not set 
Modem type is unknown.
Session limit is not set.
Time since activation: never
 --More--         Editing is enabled.
History is enabled, history size is 20.
DNS resolution in show commands is enabled
Full user help is disabled
Allowed input transports are none.
Allowed output transports are pad telnet rlogin lapb-ta ssh.
Preferred transport is telnet.
Shell: enabled
Shell trace: off
No output characters are padded
No special data dispatching characters","""Idle EXEC , 00:10:00""",Non-Compliant,01-06-2025 20:10
192.168.0.110,1.2.8,Set 'exec-timeout' to less than or equal to 10 minutes 'line vty',nan,,,Terminal_Output Empty or Not Run,01-06-2025 20:10
192.168.0.110,nan,nan,show line vty 0,"Tty Typ     Tx/Rx    A Modem  Roty AccO AccI   Uses   Noise  Overruns   Int
*    10 VTY              -    -      -    -    -   1495       0     0/0       -

Line 10, Location: """", Type: ""xterm""
Length: 0 lines, Width: 80 columns
Baud rate (TX/RX) is 9600/9600
Status: Ready, Active, No Exit Banner, Notify Process
Capabilities: none
Modem state: Ready
Special Chars: Escape  Hold  Stop  Start  Disconnect  Activation
                ^^x    none   -     -       none         
Timeouts:      Idle EXEC    Idle Session   Modem Answer  Session   Dispatch
               00:05:00        never                        none     not set
                            Idle Session Disconnect Warning
                              never 
                            Login-sequence User Response
                             00:00:30
                            Autoselect Initial Wait
                              not set 
Modem type is unknown.
Session limit is not set.
Time since activation: 17:57:43
Editing is enabled.
 --More--         History is enabled, history size is 20.
DNS resolution in show commands is enabled
Full user help is disabled
Allowed input transports are ssh.
Allowed output transports are none.
Preferred transport is telnet.
Shell: disabled
Shell trace: off
No output characters are padded
No special data dispatching characters","""Idle EXEC , 00:10:00""",Non-Compliant,01-06-2025 20:10
192.168.0.110,nan,nan,show line vty 5,"Tty Typ     Tx/Rx    A Modem  Roty AccO AccI   Uses   Noise  Overruns   Int
     15 VTY              -    -      -    -    -      0       0     0/0       -

Line 15, Location: """", Type: """"
Length: 24 lines, Width: 80 columns
Baud rate (TX/RX) is 9600/9600
Status: No Exit Banner
Capabilities: none
Modem state: Idle
Special Chars: Escape  Hold  Stop  Start  Disconnect  Activation
                ^^x    none   -     -       none         
Timeouts:      Idle EXEC    Idle Session   Modem Answer  Session   Dispatch
               00:05:00        never                        none     not set
                            Idle Session Disconnect Warning
                              never 
                            Login-sequence User Response
                             00:00:30
                            Autoselect Initial Wait
                              not set 
Modem type is unknown.
Session limit is not set.
Time since activation: never
Editing is enabled.
 --More--         History is enabled, history size is 20.
DNS resolution in show commands is enabled
Full user help is disabled
Allowed input transports are none.
Allowed output transports are none.
Preferred transport is telnet.
Shell: enabled
Shell trace: off
No output characters are padded
No special data dispatching characters","""Idle EXEC , 00:10:00""",Non-Compliant,01-06-2025 20:10
192.168.0.110,1.2.9,Set 'transport input none' for 'line aux 0',show running-config | sec line aux 0,line aux 0,transport input none,Non-Compliant,01-06-2025 20:10
192.168.0.110,1.3.1,Set the 'banner-text' for 'banner exec',show banner exec,,Output should refelect,Terminal_Output Empty or Not Run,01-06-2025 20:10
192.168.0.110,1.3.2,Set the 'banner-text' for 'banner login',show banner login,,Output should refelect,Terminal_Output Empty or Not Run,01-06-2025 20:10
192.168.0.110,1.3.3,Set the 'banner-text' for 'banner motd',show banner motd,"CCC


***********************************************************************************
*                   ! ! ! ! !   WARNING! ! ! ! !                                  *
*           You are entering to Restricted Rhythm Bank Network                   *
*             Unauthorized access and use of this system is                       *
*              not permitted and is strictly prohibited by                        *
*                 security policies and regulations.                              *
*                                                                                 *
*            UNAUTHORIZED USERS ARE SUBJECT TO CRIMINAL AND                       *
*             CIVIL PENALTIES AS WELL AS COMPANY-INITIATED                        *
*                      DISCIPLINARY PROCEEDINGS.                                  *
***********************************************************************************","""*                   ! ! ! ! !   WARNING! ! ! ! !                                  *,""",Compliant,01-06-2025 20:10
192.168.0.110,1.4.1,Set 'password' for 'enable secret',show running-config | inclu enable secret,enable secret 5 $1$jdnP$dBQFeCQJluTWJlK0.yv2N0,"""enable secret""",Compliant,01-06-2025 20:10
192.168.0.110,1.4.2,Enable 'service password-encryption',sh run | incl service password-encryption,no service password-encryption,"""service password-encryption""",Compliant,01-06-2025 20:10
192.168.0.110,1.4.3,Set 'username secret' for all local users,show run | incl username,username bdnopm secret 5 $1$RVv1$H5IgMsn47rLdTJS3qNM.e1,""" secret""",Compliant,01-06-2025 20:10
192.168.0.110,1.5.1,Set 'no snmp-server' to disable SNMP when unused,show run | incl snmp,"snmp-server group BDNBR v3 priv 
snmp-server group BDNBRGRP v3 auth 
snmp-server group BDNBRGRP v3 priv 
snmp-server group fisnetwork v3 priv 
snmp-server view BDNBRVIEW iso included
snmp-server view BDNBRVIEW mib-2 included
snmp-server view BDNBRVIEW cisco included
snmp-server community Rhythm@imc RO 98
snmp-server community fisclient RO 99
snmp-server ifindex persist
snmp-server trap-source Vlan254
snmp-server source-interface informs Vlan1
snmp-server enable traps snmp linkdown linkup warmstart
snmp-server enable traps bgp
snmp-server enable traps bgp cbgp2
snmp-server enable traps config-copy
snmp-server enable traps config
snmp-server enable traps config-ctid
snmp-server host 10.1.62.25 informs version 3 priv BDNBR 
snmp-server host 10.1.62.26 informs version 3 priv BDNBR 
snmp-server host 10.1.62.27 informs version 3 priv BDNBR 
snmp-server host 10.1.62.28 informs version 3 priv BDNBR 
snmp-server host 10.1.64.32 informs version 3 priv BDNBR 
 --More--         snmp-server host 10.1.64.33 informs version 3 priv BDNBR 
snmp-server host 10.2.64.32 informs version 3 priv BDNBR 
snmp-server host 10.2.64.33 informs version 3 priv BDNBR 
snmp-server host 10.5.132.19 informs version 3 priv BDNBR 
snmp-server host 10.5.132.23 informs version 3 priv BDNBR 
snmp-server host 10.5.132.36 informs version 3 priv BDNBR 
snmp-server host 10.1.62.25 version 3 priv BDNBR 
snmp-server host 10.1.62.26 version 3 priv BDNBR 
snmp-server host 10.1.62.27 version 3 priv BDNBR 
snmp-server host 10.1.62.28 version 3 priv BDNBR 
snmp-server host 10.1.64.32 version 3 priv BDNBR 
snmp-server host 10.1.64.33 version 3 priv BDNBR 
snmp-server host 10.2.64.32 version 3 priv BDNBR 
snmp-server host 10.2.64.33 version 3 priv BDNBR 
snmp-server host 10.5.132.19 version 3 priv BDNBR 
snmp-server host 10.5.132.23 version 3 priv BDNBR 
snmp-server host 10.5.132.36 version 3 priv BDNBR 
snmp-server host 10.192.33.91 version 2c fisclient  bgp",,Keywords Not Set,01-06-2025 20:10
192.168.0.110,1.5.2,Unset 'private' for 'snmp-server community',nan,,,Terminal_Output Empty or Not Run,01-06-2025 20:10
192.168.0.110,1.5.3,Unset 'public' for 'snmp-server community',nan,,,Terminal_Output Empty or Not Run,01-06-2025 20:10
192.168.0.110,1.5.4,Do not set 'RW' for any 'snmp-server community',show run | in snmp-community,,"""RO""",Terminal_Output Empty or Not Run,01-06-2025 20:10
192.168.0.110,1.5.5,Set the ACL for each 'snmp-server community',Show snmp community,"Community name: ILMI
Community Index: ILMI
Community SecurityName: ILMI
storage-type: read-only active


Community name: Rhythm@imc
Community Index: Rhythm@imc
Community SecurityName: Rhythm@imc
storage-type: nonvolatile activeaccess-list: 98


Community name: fisclient
Community Index: fisclient
Community SecurityName: fisclient
storage-type: nonvolatile activeaccess-list: 99


Community name: fisclient@1
Community Index: fisclient@1
Community SecurityName: fisclient@1
storage-type: nonvolatile activeaccess-list: 99
 --More--         

Community name: fisclient@100
Community Index: fisclient@100
Community SecurityName: fisclient@100
storage-type: read-only activeaccess-list: 99


Community name: fisclient@111
Community Index: fisclient@111
Community SecurityName: fisclient@111
storage-type: read-only activeaccess-list: 99


Community name: fisclient@254
Community Index: fisclient@254
Community SecurityName: fisclient@254
storage-type: read-only activeaccess-list: 99


Community name: fisclient@30
Community Index: fisclient@30
Community SecurityName: fisclient@30
 --More--         storage-type: read-only activeaccess-list: 99


Community name: fisclient@60
Community Index: fisclient@60
Community SecurityName: fisclient@60
storage-type: read-only activeaccess-list: 99",ACTIVE-ACCESS-LIST,Non-Compliant,01-06-2025 20:10
192.168.0.110,1.5.6,Create an 'access-list' for use with SNMP,show snmp user,"User name: BDNBR
Engine ID: 800000090300F4CFE22AF680
storage-type: nonvolatile activeaccess-list: 90
Authentication Protocol: MD5
Privacy Protocol: AES128
Group-name: BDNBRGRP

User name: bdnnoc
Engine ID: 800000090300F4CFE22AF680
storage-type: nonvolatile activeaccess-list: 99
Authentication Protocol: SHA
Privacy Protocol: AES256
Group-name: fisnetwork",Privacy Protocol,Compliant,01-06-2025 20:10
192.168.0.110,1.5.7,Set 'snmp-server host' when using SNMP,show run | incl snmp,"snmp-server group BDNBR v3 priv 
snmp-server group BDNBRGRP v3 auth 
snmp-server group BDNBRGRP v3 priv 
snmp-server group fisnetwork v3 priv 
snmp-server view BDNBRVIEW iso included
snmp-server view BDNBRVIEW mib-2 included
snmp-server view BDNBRVIEW cisco included
snmp-server community Rhythm@imc RO 98
snmp-server community fisclient RO 99
snmp-server ifindex persist
snmp-server trap-source Vlan254
snmp-server source-interface informs Vlan1
snmp-server enable traps snmp linkdown linkup warmstart
snmp-server enable traps bgp
snmp-server enable traps bgp cbgp2
snmp-server enable traps config-copy
snmp-server enable traps config
snmp-server enable traps config-ctid
snmp-server host 10.1.62.25 informs version 3 priv BDNBR 
snmp-server host 10.1.62.26 informs version 3 priv BDNBR 
snmp-server host 10.1.62.27 informs version 3 priv BDNBR 
snmp-server host 10.1.62.28 informs version 3 priv BDNBR 
snmp-server host 10.1.64.32 informs version 3 priv BDNBR 
 --More--         snmp-server host 10.1.64.33 informs version 3 priv BDNBR 
snmp-server host 10.2.64.32 informs version 3 priv BDNBR 
snmp-server host 10.2.64.33 informs version 3 priv BDNBR 
snmp-server host 10.5.132.19 informs version 3 priv BDNBR 
snmp-server host 10.5.132.23 informs version 3 priv BDNBR 
snmp-server host 10.5.132.36 informs version 3 priv BDNBR 
snmp-server host 10.1.62.25 version 3 priv BDNBR 
snmp-server host 10.1.62.26 version 3 priv BDNBR 
snmp-server host 10.1.62.27 version 3 priv BDNBR 
snmp-server host 10.1.62.28 version 3 priv BDNBR 
snmp-server host 10.1.64.32 version 3 priv BDNBR 
snmp-server host 10.1.64.33 version 3 priv BDNBR 
snmp-server host 10.2.64.32 version 3 priv BDNBR 
snmp-server host 10.2.64.33 version 3 priv BDNBR 
snmp-server host 10.5.132.19 version 3 priv BDNBR 
snmp-server host 10.5.132.23 version 3 priv BDNBR 
snmp-server host 10.5.132.36 version 3 priv BDNBR 
snmp-server host 10.192.33.91 version 2c fisclient  bgp",,Keywords Not Set,01-06-2025 20:10
192.168.0.110,1.5.8,Set 'snmp-server enable traps snmp',show run | incl snmp,"snmp-server group BDNBR v3 priv 
snmp-server group BDNBRGRP v3 auth 
snmp-server group BDNBRGRP v3 priv 
snmp-server group fisnetwork v3 priv 
snmp-server view BDNBRVIEW iso included
snmp-server view BDNBRVIEW mib-2 included
snmp-server view BDNBRVIEW cisco included
snmp-server community Rhythm@imc RO 98
snmp-server community fisclient RO 99
snmp-server ifindex persist
snmp-server trap-source Vlan254
snmp-server source-interface informs Vlan1
snmp-server enable traps snmp linkdown linkup warmstart
snmp-server enable traps bgp
snmp-server enable traps bgp cbgp2
snmp-server enable traps config-copy
snmp-server enable traps config
snmp-server enable traps config-ctid
snmp-server host 10.1.62.25 informs version 3 priv BDNBR 
snmp-server host 10.1.62.26 informs version 3 priv BDNBR 
snmp-server host 10.1.62.27 informs version 3 priv BDNBR 
snmp-server host 10.1.62.28 informs version 3 priv BDNBR 
snmp-server host 10.1.64.32 informs version 3 priv BDNBR 
 --More--         snmp-server host 10.1.64.33 informs version 3 priv BDNBR 
snmp-server host 10.2.64.32 informs version 3 priv BDNBR 
snmp-server host 10.2.64.33 informs version 3 priv BDNBR 
snmp-server host 10.5.132.19 informs version 3 priv BDNBR 
snmp-server host 10.5.132.23 informs version 3 priv BDNBR 
snmp-server host 10.5.132.36 informs version 3 priv BDNBR 
snmp-server host 10.1.62.25 version 3 priv BDNBR 
snmp-server host 10.1.62.26 version 3 priv BDNBR 
snmp-server host 10.1.62.27 version 3 priv BDNBR 
snmp-server host 10.1.62.28 version 3 priv BDNBR 
snmp-server host 10.1.64.32 version 3 priv BDNBR 
snmp-server host 10.1.64.33 version 3 priv BDNBR 
snmp-server host 10.2.64.32 version 3 priv BDNBR 
snmp-server host 10.2.64.33 version 3 priv BDNBR 
snmp-server host 10.5.132.19 version 3 priv BDNBR 
snmp-server host 10.5.132.23 version 3 priv BDNBR 
snmp-server host 10.5.132.36 version 3 priv BDNBR 
snmp-server host 10.192.33.91 version 2c fisclient  bgp",,Keywords Not Set,01-06-2025 20:10
192.168.0.110,1.5.9,Set 'priv' for each 'snmp-server group' using SNMPv3,show run | incl snmp,"snmp-server group BDNBR v3 priv 
snmp-server group BDNBRGRP v3 auth 
snmp-server group BDNBRGRP v3 priv 
snmp-server group fisnetwork v3 priv 
snmp-server view BDNBRVIEW iso included
snmp-server view BDNBRVIEW mib-2 included
snmp-server view BDNBRVIEW cisco included
snmp-server community Rhythm@imc RO 98
snmp-server community fisclient RO 99
snmp-server ifindex persist
snmp-server trap-source Vlan254
snmp-server source-interface informs Vlan1
snmp-server enable traps snmp linkdown linkup warmstart
snmp-server enable traps bgp
snmp-server enable traps bgp cbgp2
snmp-server enable traps config-copy
snmp-server enable traps config
snmp-server enable traps config-ctid
snmp-server host 10.1.62.25 informs version 3 priv BDNBR 
snmp-server host 10.1.62.26 informs version 3 priv BDNBR 
snmp-server host 10.1.62.27 informs version 3 priv BDNBR 
snmp-server host 10.1.62.28 informs version 3 priv BDNBR 
snmp-server host 10.1.64.32 informs version 3 priv BDNBR 
 --More--         snmp-server host 10.1.64.33 informs version 3 priv BDNBR 
snmp-server host 10.2.64.32 informs version 3 priv BDNBR 
snmp-server host 10.2.64.33 informs version 3 priv BDNBR 
snmp-server host 10.5.132.19 informs version 3 priv BDNBR 
snmp-server host 10.5.132.23 informs version 3 priv BDNBR 
snmp-server host 10.5.132.36 informs version 3 priv BDNBR 
snmp-server host 10.1.62.25 version 3 priv BDNBR 
snmp-server host 10.1.62.26 version 3 priv BDNBR 
snmp-server host 10.1.62.27 version 3 priv BDNBR 
snmp-server host 10.1.62.28 version 3 priv BDNBR 
snmp-server host 10.1.64.32 version 3 priv BDNBR 
snmp-server host 10.1.64.33 version 3 priv BDNBR 
snmp-server host 10.2.64.32 version 3 priv BDNBR 
snmp-server host 10.2.64.33 version 3 priv BDNBR 
snmp-server host 10.5.132.19 version 3 priv BDNBR 
snmp-server host 10.5.132.23 version 3 priv BDNBR 
snmp-server host 10.5.132.36 version 3 priv BDNBR 
snmp-server host 10.192.33.91 version 2c fisclient  bgp",,Keywords Not Set,01-06-2025 20:10
192.168.0.110,1.5.10,Require 'aes 128' as minimum for 'snmp-server user' when using SNMPv3,show snmp user,"User name: BDNBR
Engine ID: 800000090300F4CFE22AF680
storage-type: nonvolatile activeaccess-list: 90
Authentication Protocol: MD5
Privacy Protocol: AES128
Group-name: BDNBRGRP

User name: bdnnoc
Engine ID: 800000090300F4CFE22AF680
storage-type: nonvolatile activeaccess-list: 99
Authentication Protocol: SHA
Privacy Protocol: AES256
Group-name: fisnetwork","""AES""",Compliant,01-06-2025 20:10
192.168.0.110,1.6.1,Set the 'hostname',sh run | in hostname,hostname BBL-C075-Belghoria-891F,"""hostname""",Compliant,01-06-2025 20:10
192.168.0.110,1.6.2,Set the 'no ip domainserver',sh run | in domain,"domain-name Rhythm.local
 domain-name Rhythm.local
 domain-name Rhythm.local
no ip domain lookup
ip domain name Rhythmbank.com",Output should refelect,Non-Compliant,01-06-2025 20:10
192.168.0.110,1.6.3,Set the 'no ip http secure-server',sh run | in http,"no ip http server
no ip http secure-server",Output should refelect,Non-Compliant,01-06-2025 20:10
192.168.0.110,1.6.6,Set 'modulus' to greater than or equal to 2048 for 'crypto key generate rsa',show ip ssh,"SSH Enabled - version 2.0
Authentication methods:publickey,keyboard-interactive,password
Authentication Publickey Algorithms:x509v3-ssh-rsa,ssh-rsa
Hostkey Algorithms:x509v3-ssh-rsa,ssh-rsa
Encryption Algorithms:aes128-ctr,aes192-ctr,aes256-ctr
MAC Algorithms:hmac-sha1,hmac-sha1-96
Authentication timeout: 30 secs; Authentication retries: 3
Minimum expected Diffie Hellman key size : 1024 bits
IOS Keys in SECSH format(ssh-rsa, base64 encoded): BBL-C075-Belghoria-891F.Rhythmbank.com
ssh-rsa AAAAB3NzaC1yc2EAAAADAQABAAABAQDVPErddQS1ccBoDmF4UqdDt3wsBlOoDQ2kxj4bMA+/
lcScsRRRpYFVx5g6svuNPrDIjRoel983081eTTWATQdoxw3RiGGH3kW9CaV4MxGJkPGqf9cCbGQJn7Fc
qq7Z9xB44B42E+vY9s0yUSyLL+9OCAritby7IcBZ79l4z7ygnu9pM0IECHpoaBp2TL7IPR810/MQbXyY
TZOOj8g1GHn9kM5RCgpo0zr2c+mMQM1ryJfgg7NJYuXJ6X5gfrGEXxxjY9DGGDX/H0FcwgGNiYdIanBW
nh1LNt0lmx+dw6meIzi6g0Ws6KO+JeOKkBf2wX3gk24wkToTv4huE5SBy5x5","""SSH Enabled - version 2.0, Authentication timeout: 10 secs; Authentication retries: 3, Minimum expected Diffie Hellman key size : 2048 bits""",Non-Compliant,01-06-2025 20:10
192.168.0.110,1.6.7,Set 'seconds' for 'ip ssh timeout',nan,,,Terminal_Output Empty or Not Run,01-06-2025 20:10
192.168.0.110,1.6.8,Set maximum value for 'ip ssh authentication-retries',nan,,,Terminal_Output Empty or Not Run,01-06-2025 20:10
192.168.0.110,1.6.9,Set version 2 for 'ip ssh version',nan,,,Terminal_Output Empty or Not Run,01-06-2025 20:10
192.168.0.110,1.6.10,Set 'no cdp run',sh cdp neighbour,"^
% Invalid input detected at '^' marker.","""% CDP is not enabled""",Non-Compliant,01-06-2025 20:10
192.168.0.110,1.6.11,Set 'no ip identd',sh run all | in identd,,Output should refelect,Terminal_Output Empty or Not Run,01-06-2025 20:10
192.168.0.110,1.6.12,Set 'service tcp-keepalives-in',show run | incl service tcp,,,Terminal_Output Empty or Not Run,01-06-2025 20:10
192.168.0.110,1.6.13,Set 'service tcp-keepalives-out',show run | incl service tcp,,,Terminal_Output Empty or Not Run,01-06-2025 20:10
192.168.0.110,1.6.14,Set 'no service pad',sh run all | in pad service,,Output should refelect,Terminal_Output Empty or Not Run,01-06-2025 20:10
